축산업 사업장 명칭,주사육업종,사업장소재지
우성농장,한우,전라남도 장흥군 장동면 조양리 287번지  
푸른농장,한우,전라남도 장흥군 장평면 봉림리 24번지  
태성농장,한우,전라남도 장흥군 용산면 상발리 933번지 6호  
해동축사,한우,전라남도 장흥군 안양면 학송리 60번지 6호  
금장농장,한우,전라남도 장흥군 부산면 호계리 653번지 4호  
,한우,전라남도 장흥군 대덕읍 연정리 712번지 12호  
애쓰다축산,한우,전라남도 장흥군 대덕읍 잠두리 691번지  
,한우,전라남도 장흥군 관산읍 외동리 672번지 1호  
우성농장,한우,전라남도 장흥군 관산읍 삼산리 546번지 4호  
,한우,전라남도 장흥군 관산읍 남송리 108번지 13호  
,한우,전라남도 장흥군 관산읍 삼산리 258번지 12호  
보경농장,한우,전라남도 장흥군 장흥읍 덕제리 28번지 1호  
해성농장,한우,전라남도 장흥군 장흥읍 금산리 151번지  
,한우,전라남도 장흥군 부산면 호계리 37번지 2호  
두현농장,한우,전라남도 장흥군 관산읍 외동리 216번지  
소머리봉목장,한우,전라남도 장흥군 관산읍 외동리 348번지  
,한우,전라남도 장흥군 대덕읍 잠두리 69번지  
,한우,전라남도 장흥군 장동면 북교리 273번지 10호  
동님농장,한우,"전라남도 장흥군 관산읍 삼산리 455번지 , 456-1, 454번지 "
비파골농원,한우,전라남도 장흥군 장동면 배산리 467번지 2호  
,한우,전라남도 장흥군 관산읍 외동리 31번지  
,한우,전라남도 장흥군 용산면 접정리 307번지 4호  
영이축산,한우,"전라남도 장흥군 관산읍 남송리 174번지 1호 , 174-2, 174-12번지 "
,한우,"전라남도 장흥군 용산면 계산리 416-17, 416-25번지 "
초원목장1,한우,전라남도 장흥군 안양면 모령리 120번지  
어부농장,한우,"전라남도 장흥군 관산읍 외동리 582번지 1호 , 582-3번지 "
송인농장,한우,전라남도 장흥군 관산읍 고마리 972번지 5호 축사및퇴비사 
서영농장,한우,전라남도 장흥군 관산읍 송촌리 395번지 4호  
석원농장,한우,전라남도 장흥군 장흥읍 행원리 70번지 1호  
김호농장,한우,전라남도 장흥군 용산면 모산리 145번지 1호  
시우농장,한우,전라남도 장흥군 관산읍 삼산리 490번지 1호  
산농장,한우,전라남도 장흥군 회진면 덕산리 1759-14번지 
다연축사,한우,전라남도 장흥군 회진면 덕산리 578번지  
경주농장,한우,전라남도 장흥군 대덕읍 신리 38번지 축사및퇴비사 
현대축산,한우,전라남도 장흥군 장평면 축내리 795-4번지 
춘식농장,한우,전라남도 장흥군 장흥읍 행원리 726번지 6호  
박축사,한우,전라남도 장흥군 대덕읍 도청리 35번지 3호  
기동축산,한우,전라남도 장흥군 장평면 기동리 974번지 8호  
연산축사,한우,전라남도 장흥군 장흥읍 연산리 343번지  
한인농장,한우,전라남도 장흥군 대덕읍 신리 967번지  
청송농장,한우,전라남도 장흥군 장평면 병동리 366번지  
김** 농장,한우,"전라남도 장흥군 부산면 부춘리 395-1, 395-14번지 "
수진농장,한우,전라남도 장흥군 회진면 회진리 1222번지 4호  
한우농장,한우,전라남도 장흥군 안양면 당암리 533번지 1호  
황** 농장,한우,"전라남도 장흥군 장흥읍 순지리 16번지 , 14-2, 18번지 "
녹향농장,한우,"전라남도 장흥군 장흥읍 평장리 12, 13번지 "
장흥농장,한우,전라남도 장흥군 용산면 상금리 150번지 3호  
성관축산,한우,전라남도 장흥군 관산읍 성산리 689번지 3호  
농업회사법인 우팜 유한회사,한우,전라남도 장흥군 장평면 임리 40번지 1호  
시골농장,한우,전라남도 장흥군 대덕읍 도청리 725번지  
한우사랑축산,한우,전라남도 장흥군 대덕읍 연정리 724번지 9호  
임** 김** 축산,한우,전라남도 장흥군 대덕읍 연정리 724번지  
솔아농장,한우,전라남도 장흥군 대덕읍 도청리 35번지 6호  
성우농장,한우,전라남도 장흥군 장흥읍 행원리 730번지 1호  
아들축산,한우,전라남도 장흥군 장동면 만년리 566번지 3호  
가은농장,한우,"전라남도 장흥군 관산읍 외동리 982번지 , 982-1, 972,  1047-4번지 "
황**,한우,전라남도 장흥군 관산읍 지정리 425번지  
행복농장,한우,전라남도 장흥군 대덕읍 신리 701번지 1호  
지덕축산,한우,전라남도 장흥군 대덕읍 도청리 714번지  
접정축산,한우,전라남도 장흥군 용산면 접정리 217번지  
인경농장,한우,전라남도 장흥군 대덕읍 잠두리 41번지  
부용두레,한우,전라남도 장흥군 용산면 접정리 216번지 2호  
장수농장,한우,전라남도 장흥군 용산면 계산리 405번지 10호  
제일농장,한우,전라남도 장흥군 장흥읍 사안리 146번지  
차차농장,한우,전라남도 장흥군 장흥읍 사안리 186번지 1호  
상현이축사,한우,전라남도 장흥군 안양면 학송리 62번지 7호  
서경농장,한우,전라남도 장흥군 장흥읍 평장리 85번지 1호  
우성농장Ⅱ,한우,전라남도 장흥군 관산읍 삼산리 356번지 1호  
수명,한우,전라남도 장흥군 대덕읍 연정리 1330번지 5호  
행화농장,한우,전라남도 장흥군 장흥읍 행원리 731번지 2호  
재광농장,한우,전라남도 장흥군 관산읍 남송리 631번지 6호  
마리아농장,한우,전라남도 장흥군 관산읍 외동리 52번지  
정자농장,한우,전라남도 장흥군 회진면 회진리 1855번지 9호  
관동한우,한우,전라남도 장흥군 관산읍 하발리 711번지 13호  
수미축산,한우,전라남도 장흥군 부산면 부춘리 559번지 3호  
,한우,전라남도 장흥군 대덕읍 가학리 1158번지 1호  
미애축산,한우,전라남도 장흥군 대덕읍 연지리 12번지 1호  
인주농장,한우,전라남도 장흥군 회진면 진목리 1796번지 10호  
영배농장,한우,전라남도 장흥군 회진면 진목리 1753번지 1호  
특별축사,한우,전라남도 장흥군 관산읍 용전리 295번지 12호  
대연,한우,전라남도 장흥군 장흥읍 삼산리 331번지 3호  
일동축산,한우,전라남도 장흥군 대덕읍 신리 211번지 3호  
,한우,전라남도 장흥군 관산읍 신동리 180번지 3호  
한** 농장,한우,"전라남도 장흥군 용산면 금곡리 2번지 6호 2-4, 2-5 "
한정축산,한우,전라남도 장흥군 용산면 관지리 634번지 2호  
현남 한우농장,한우,전라남도 장흥군 대덕읍 도청리 580번지  
달바위농장,한우,전라남도 장흥군 관산읍 외동리 737번지 1호 가동 
동준축산,한우,전라남도 장흥군 관산읍 삼산리 1578번지 4호  
성재축산,한우,전라남도 장흥군 용산면 녹원리 193-3번지 
들몰농장,한우,전라남도 장흥군 장흥읍 평장리 457번지 5호  
준 농장,한우,전라남도 장흥군 관산읍 삼산리 257번지 12호  
여의축산,한우,전라남도 장흥군 장평면 등촌리 470번지 4호  
희망찬농장,한우,전라남도 장흥군 관산읍 삼산리 184번지 56호  
유선축산,한우,전라남도 장흥군 관산읍 삼산리 407번지 외 3필지 
통큰농장,한우,전라남도 장흥군 장흥읍 금산리 169번지 2호  
자연농장,한우,전라남도 장흥군 장평면 어곡리 810번지 1호  
밤비,한우,전라남도 장흥군 대덕읍 신리 214번지 2호 축사및 퇴비사 
무등축산,한우,전라남도 장흥군 장평면 양촌리 530번지 4호  
영숙농장,한우,전라남도 장흥군 용산면 덕암리 201번지 1호  
지우축산,한우,전라남도 장흥군 장동면 북교리 272번지 1호  
연동축산,한우,전라남도 장흥군 대덕읍 연지리 759번지  
초동축산,한우,전라남도 장흥군 관산읍 삼산리 302번지 2호  
영진 ♥지혜농장,한우,전라남도 장흥군 안양면 신촌리 523번지  
척산농장,한우,전라남도 장흥군 용산면 인암리 405번지 1호  
시바우농장,한우,전라남도 장흥군 대덕읍 잠두리 1041번지 3호  
이천농장,한우,전라남도 장흥군 대덕읍 분토리 산 19번지 2호  
신** 축사,한우,전라남도 장흥군 장흥읍 행원리 686번지 1호  
삼정농원,한우,전라남도 장흥군 용산면 덕암리 227번지 3호  
이**,한우,전라남도 장흥군 관산읍 신동리 179번지 2호 외 2필지 
홍명축산,한우,전라남도 장흥군 장흥읍 행원리 870번지  
안**,한우,전라남도 장흥군 대덕읍 잠두리 1071번지 4호  
형수축산,한우,전라남도 장흥군 대덕읍 연지리 66번지 1호 외 2필지 
표고돌이축산,한우,전라남도 장흥군 유치면 운월리 산 320번지 3호  
청우농장,한우,전라남도 장흥군 대덕읍 연지리 571번지 13호  
럭키농장,한우,전라남도 장흥군 장흥읍 덕제리 681번지 8호  
박**,한우,전라남도 장흥군 장흥읍 덕제리 335번지 3호  
수미농장,한우,"전라남도 장흥군 관산읍 외동리 226번지 , 227-2, 758-1번지 "
재경농장,한우,전라남도 장흥군 장흥읍 금산리 414번지 2호  
윤규축산,한우,전라남도 장흥군 장흥읍 영전리 51번지 1호  
혜인목장,한우,전라남도 장흥군 장평면 축내리 667번지  
상원농장,한우,전라남도 장흥군 대덕읍 연정리 550번지 1호  
우리가한우,한우,전라남도 장흥군 장평면 우산리 201번지  
의성축산,한우,전라남도 장흥군 회진면 신상리 1136번지 1호  
와룡축사,한우,전라남도 장흥군 관산읍 부평리 367번지 4호  
옥자축사,한우,전라남도 장흥군 대덕읍 신리 615번지 9호  
Green,한우,전라남도 장흥군 관산읍 신동리 180번지 6호  
노**,한우,"전라남도 장흥군 장흥읍 금산리 230번지 1호 , 259-1 "
서울농장,한우,전라남도 장흥군 대덕읍 연지리 281번지 5호  
월암농장,한우,전라남도 장흥군 안양면 당암리 969번지 1호  
,한우,전라남도 장흥군 대덕읍 연정리 442번지  
또율축산,한우,전라남도 장흥군 장평면 등촌리 476번지 7호  
부경축산,한우,전라남도 장흥군 용산면 풍길리 217번지  
부평농장,한우,전라남도 장흥군 관산읍 부평리 277번지 8호  
꿀벌,한우,전라남도 장흥군 용산면 모산리 149번지 1호  
은성농장,한우,"전라남도 장흥군 대덕읍 연정리 737번지 101호 , 737-32, 730-7, 722-5, 737-70, 737-102번지 "
신기축사,한우,전라남도 장흥군 장흥읍 금산리 166번지 2호  
금성농장,한우,전라남도 장흥군 장흥읍 금산리 213번지 15호  
장수삼일농장,한우,전라남도 장흥군 안양면 신촌리 507번지 6호  2동 
보은농장,한우,전라남도 장흥군 안양면 해창리 361번지  
이**,한우,전라남도 장흥군 대덕읍 신리 631번지 5호  
김**,한우,전라남도 장흥군 대덕읍 신리 690번지  
유안농장,한우,전라남도 장흥군 대덕읍 연정리 1313번지 1호  
샛별농장,한우,전라남도 장흥군 관산읍 외동리 310번지 5호  
미자농장,한우,전라남도 장흥군 대덕읍 신월리 501번지  
둥이농장,한우,전라남도 장흥군 대덕읍 신월리 384번지 1호  
수완축산,한우,"전라남도 장흥군 대덕읍 가학리 513번지 2호 , 514 "
박**,한우,전라남도 장흥군 용산면 금곡리 494번지 1호  
형근축산,한우,전라남도 장흥군 용산면 인암리 1005번지  
양훈농장,한우,"전라남도 장흥군 대덕읍 잠두리 286번지 , 286-5, 290, 290-3, 292번지 "
최**,한우,전라남도 장흥군 용산면 운주리 670번지 1호  
최**,한우,전라남도 장흥군 용산면 운주리 493번지 3호  
유**,한우,전라남도 장흥군 관산읍 외동리 752번지 64호  
가포축산,한우,전라남도 장흥군 대덕읍 도청리 43번지 1호  
한우,한우,전라남도 장흥군 대덕읍 잠두리 693번지  
이**,한우,전라남도 장흥군 관산읍 삼산리 894번지 54호  
김**,한우,전라남도 장흥군 용산면 관지리 204번지 1호  
임**,한우,전라남도 장흥군 관산읍 삼산리 894번지 56호  
대성농장,한우,전라남도 장흥군 회진면 신상리 941번지 2호  
사촌농장,한우,전라남도 장흥군 안양면 사촌리 430번지 1호  
황**,한우,전라남도 장흥군 관산읍 삼산리 894번지 52호  
장수농장,한우,전라남도 장흥군 안양면 학송리 151번지 13호  
경부축산,한우,전라남도 장흥군 관산읍 송촌리 178번지  
남매축산,한우,전라남도 장흥군 대덕읍 연지리 555번지 4호  
천관농장,한우,전라남도 장흥군 관산읍 용전리 399번지  
임**,한우,전라남도 장흥군 관산읍 삼산리 894번지 53호  
최**,한우,전라남도 장흥군 부산면 호계리 714번지 1호  
봉림축산,한우,전라남도 장흥군 장평면 봉림리 465번지  
광미,한우,전라남도 장흥군 용산면 월송리 474번지 1호  
진희농장,한우,전라남도 장흥군 관산읍 송촌리 257번지 3호  
신**,한우,전라남도 장흥군 대덕읍 신리 773번지 3호  
하나축산2,한우,전라남도 장흥군 관산읍 신동리 530번지 2호  
큰샘농원,한우,전라남도 장흥군 안양면 지천리 223번지  
,한우,전라남도 장흥군 안양면 수문리 416번지 13호  
변잠계,한우,전라남도 장흥군 용산면 관지리 6번지 2호  
부자목장,한우,전라남도 장흥군 장평면 양촌리 610번지 3호  
농업회사법인 (주) 보우,한우,전라남도 장흥군 장평면 두봉리 622번지 1호  
선**,한우,전라남도 장흥군 안양면 수양리 74번지  
둥지농장,한우,전라남도 장흥군 대덕읍 연지리 36번지 87호  
덕량축산,한우,전라남도 장흥군 대덕읍 신월리 495번지  
청수농장,한우,"전라남도 장흥군 용산면 접정리 196번지 6호 , 196-7 "
태양농장,한우,전라남도 장흥군 회진면 진목리 1768번지 1호  
문**,한우,전라남도 장흥군 대덕읍 잠두리 72번지 나동 
관흥목장,한우,전라남도 장흥군 관산읍 외동리 751번지 2호 가-1동 
관흥목장,한우,전라남도 장흥군 관산읍 외동리 751번지 2호 가동 
전**,한우,전라남도 장흥군 안양면 해창리 339번지 1호  
호암농장,한우,전라남도 장흥군 용산면 어산리 706번지 1호  
김용,한우,전라남도 장흥군 부산면 호계리 346번지 2호  나동 
영지한우,한우,"전라남도 장흥군 대덕읍 잠두리 산 126번지 사동, 아동 "
용기농장,한우,전라남도 장흥군 대덕읍 신리 278번지  
,한우,전라남도 장흥군 대덕읍 연정리 574번지 2호  
단비,한우,전라남도 장흥군 관산읍 외동리 180번지  
덕은축산,한우,전라남도 장흥군 관산읍 신동리 520번지 2호  
열무농장,한우,전라남도 장흥군 대덕읍 연지리 1427번지 1호  
고**,한우,전라남도 장흥군 장평면 선정리 208번지 10호  
정가네농장,한우,전라남도 장흥군 장동면 북교리 12번지 9호  
태웅축산,한우,전라남도 장흥군 안양면 수락리 51번지 15호  
선정축사,한우,전라남도 장흥군 장평면 선정리 212번지 1호  
축사,한우,전라남도 장흥군 장흥읍 평화리 106번지 5호  
,한우,전라남도 장흥군 부산면 부춘리 559번지 2호  
부용축산2,한우,전라남도 장흥군 용산면 인암리 829번지 1호  
영원농장,한우,전라남도 장흥군 회진면 덕산리 1767번지 3호  
만선농장,한우,전라남도 장흥군 용산면 접정리 449번지 3호  
억대농장,한우,전라남도 장흥군 회진면 진목리 1769번지 1호  
덕제농장,한우,전라남도 장흥군 장흥읍 덕제리 689번지 13호  
민희농장,한우,전라남도 장흥군 회진면 진목리 1750번지 5호  
우찬농장,한우,전라남도 장흥군 부산면 호계리 42번지 3호  
우리축사,한우,전라남도 장흥군 관산읍 고마리 972번지 3호  
이**,한우,전라남도 장흥군 관산읍 외동리 95번지  
오성축산,한우,전라남도 장흥군 대덕읍 신리 220번지 2호  
사안농장,한우,전라남도 장흥군 장흥읍 사안리 104번지 외 1필지 
대덕한우,한우,전라남도 장흥군 회진면 회진리 1490번지 1호  
김**,한우,전라남도 장흥군 장동면 봉동리 143번지 6호  
,한우,전라남도 장흥군 부산면 내안리 933번지 4호  
,한우,전라남도 장흥군 대덕읍 도청리 43번지 11호  
형제농장,한우,전라남도 장흥군 관산읍 하발리 926번지 2호 외 1필지 
,한우,전라남도 장흥군 관산읍 남송리 108번지 8호  
,한우,"전라남도 장흥군 안양면 해창리 361, 354-4, 361-2, 365-1번지(다동) "
신암축산,한우,전라남도 장흥군 대덕읍 신리 212번지 4호  
구평농장,한우,전라남도 장흥군 대덕읍 연정리 1323번지 1호  
늘푸른농장,한우,전라남도 장흥군 회진면 덕산리 1765번지 1호  
이송농장,한우,전라남도 장흥군 관산읍 신동리 518번지 6호  
장흥축산농협,한우,전라남도 장흥군 장흥읍 덕제리 638번지 14호  
와이투케이축산,한우,전라남도 장흥군 장평면 진산리 465번지  
,한우,전라남도 장흥군 안양면 사촌리 421번지 2호  
시온농장,한우,전라남도 장흥군 대덕읍 도청리 39번지 1호  
,한우,전라남도 장흥군 관산읍 삼산리 591번지 1호  
신월농장,한우,전라남도 장흥군 장동면 북교리 249번지  
윤정축산,한우,전라남도 장흥군 장평면 두봉리 407번지  
가학축산,한우,전라남도 장흥군 대덕읍 가학리 205번지  
,한우,전라남도 장흥군 장평면 양촌리 167번지 2호  
,한우,전라남도 장흥군 관산읍 죽청리 95번지  
김**농장,한우,전라남도 장흥군 용산면 모산리 355번지 2호  
대명농장,한우,전라남도 장흥군 부산면 호계리 346번지 2호 다동 
건희축산,한우,전라남도 장흥군 대덕읍 가학리 130번지 1호  
,한우,전라남도 장흥군 장평면 양촌리 609번지 7호  
죽청농장,한우,"전라남도 장흥군 관산읍 하발리 514번지 12호 , 514-13 "
용두축사,한우,전라남도 장흥군 장평면 양촌리 602번지 7호  
,한우,전라남도 장흥군 관산읍 부평리 17번지  
,한우,"전라남도 장흥군 대덕읍 도청리 579번지 1호 ,579-2 "
,한우,전라남도 장흥군 대덕읍 신리 226-13번지 
,한우,전라남도 장흥군 관산읍 죽청리 27번지 8호  
유나축산,한우,전라남도 장흥군 장흥읍 덕제리 28번지 1호 나동 
외반농장,한우,전라남도 장흥군 장동면 반산리 15번지 3호  
,한우,전라남도 장흥군 관산읍 삼산리 1332번지 3호  
,한우,전라남도 장흥군 대덕읍 도청리 35번지 2호  
,한우,전라남도 장흥군 관산읍 죽청리 421번지 35호  
,한우,전라남도 장흥군 회진면 회진리 1863번지 4호  
지민축산,한우,전라남도 장흥군 안양면 해창리 572번지 32호  
,한우,전라남도 장흥군 부산면 호계리 341번지 5호 부산호계한우단지 나동 
고당축사,한우,전라남도 장흥군 안양면 당암리 501번지  
유성축산,한우,전라남도 장흥군 회진면 신상리 937번지 10호  
,한우,전라남도 장흥군 장평면 녹양리 492번지  
,한우,전라남도 장흥군 용산면 접정리 263번지 3호  
,한우,전라남도 장흥군 관산읍 신동리 517번지 3호  
대승축사,한우,전라남도 장흥군 회진면 덕산리 477번지  
,한우,전라남도 장흥군 용산면 풍길리 948번지 5호  
수정축산,한우,전라남도 장흥군 용산면 월송리 264번지  
,한우,"전라남도 장흥군 대덕읍 연정리 491번지 6호 , 491-7 "
엄마소농장,한우,전라남도 장흥군 용산면 덕암리 226번지 1호  
,한우,"전라남도 장흥군 용산면 상금리 265번지 9호 ,265-11 "
,한우,"전라남도 장흥군 안양면 수양리 204, 144-2번지 "
영수축산,한우,전라남도 장흥군 관산읍 농안리 28번지 20호  
명수농장,한우,전라남도 장흥군 장동면 북교리 685번지 1호  
,한우,전라남도 장흥군 관산읍 신동리 355번지 1호  
부평농장,한우,전라남도 장흥군 관산읍 부평리 304번지 1호  
태** 농장,한우,"전라남도 장흥군 대덕읍 신리 5번지 3호 , 5-4 "
,한우,전라남도 장흥군 관산읍 남송리 108번지 11호  
달바위농장,한우,전라남도 장흥군 관산읍 외동리 737번지 1호 나동 
산동축산,한우,전라남도 장흥군 관산읍 삼산리 184번지 36호  
,한우,전라남도 장흥군 용산면 관지리 16번지 1호  
,한우,전라남도 장흥군 안양면 신촌리 473번지 5호  
삼산축산,한우,전라남도 장흥군 관산읍 삼산리 264번지 8호  
,한우,전라남도 장흥군 용산면 관지리 6번지 1호  
이**,한우,전라남도 장흥군 관산읍 외동리 409번지 3호 나동 
,한우,전라남도 장흥군 회진면 덕산리 1767번지 1호  
다모아축산,한우,전라남도 장흥군 회진면 회진리 2165-17번지 
,한우,전라남도 장흥군 대덕읍 연정리 683번지 31호  
,한우,전라남도 장흥군 관산읍 외동리 310-6번지  
종범축산,한우,"전라남도 장흥군 관산읍 삼산리 492-1, 492-2번지 "
초록농장,한우,"전라남도 장흥군 대덕읍 가학리 400번지 (주2, 부3) "
백**,한우,전라남도 장흥군 관산읍 남송리 359번지  
스마일농장,한우,"전라남도 장흥군 대덕읍 도청리 576-1, 574번지 "
고마축사,한우,전라남도 장흥군 관산읍 고마리 65번지 6호  
,한우,전라남도 장흥군 관산읍 성산리 264번지 
대덕농장,한우,"전라남도 장흥군 대덕읍 잠두리 1026-1, 1026-2번지 "
승민농장,한우,전라남도 장흥군 관산읍 남송리 108-13번지 
,한우,전라남도 장흥군 용산면 접정리 405번지 13호  
유성농장,한우,전라남도 장흥군 관산읍 삼산리 146번지 
열이축산,한우,전라남도 장흥군 관산읍 부평리 343-8번지 
스마일농장,한우,전라남도 장흥군 대덕읍 도청리 867-8번지 
백자농장,한우,"전라남도 장흥군 용산면 월송리 743번지 6호 , 743-9 "
,한우,"전라남도 장흥군 대덕읍 도청리 29-3, 29-4, 29-5번지 "
,한우,전라남도 장흥군 대덕읍 도청리 38-5번지 
만우축산,한우,전라남도 장흥군 용산면 풍길리 931-1번지 
교촌태양광,한우,"전라남도 장흥군 장평면 청용리 256-1, 254, 257-8 "
큰봉키움축산,한우,전라남도 장흥군 안양면 신촌리 12번지 38호  
,한우,전라남도 장흥군 대덕읍 잠두리 791-6번지 
예림축산,한우,"전라남도 장흥군 관산읍 외동리 55-1, 53, 55, 56-2번지(나동) "
,한우,전라남도 장흥군 관산읍 죽청리 117번지  
진등농장,한우,전라남도 장흥군 관산읍 삼산리 1333-3번지  
,한우,전라남도 장흥군 관산읍 외동리 313번지  
,한우,"전라남도 장흥군 용산면 관지리 646-15, 646-9, 621-3번지 "
,한우,전라남도 장흥군 회진면 신상리 308번지 2호  
,한우,전라남도 장흥군 관산읍 외동리 757번지 
,한우,전라남도 장흥군 대덕읍 가학리 538-3번지 
,한우,전라남도 장흥군 관산읍 외동리 188번지  
,한우,전라남도 장흥군 장흥읍 평장리 79번지 
희정축산 1,한우,전라남도 장흥군 관산읍 삼산리 903번지 1호  
희정축산 2,한우,전라남도 장흥군 관산읍 삼산리 266번지 2호  
명인육종목장,한우,"전라남도 장흥군 부산면 호계리 341-5, 338-(1~7), 341-1, 341-(14~23)번지/라동,아동 "
,한우,"전라남도 장흥군 부산면 호계리 341-5, 338-(1~7), 341-1, 341-(14~23)번지 / 가,마동 "
,한우,"전라남도 장흥군 용산면 풍길리 221, 219-1, 617-1번지 "
,한우,"전라남도 장흥군 안양면 해창리 1217-4, 1250-2번지 "
장**축산,한우,"전라남도 장흥군 안양면 당암리 10-35번지, 나동 "
다온축사,한우,전라남도 장흥군 안양면 사촌리 750-3번지 
,한우,전라남도 장흥군 관산읍 외동리 377-6번지  
,한우,"전라남도 장흥군 부산면 호계리 346-2, 346-1, 346-4번지(라동,D동) "
성한2농장,한우,"전라남도 장흥군 장흥읍 덕제리 86, 85-2번지 "
,한우,전라남도 장흥군 관산읍 지정리 481번지 1호  
서진농장,한우,전라남도 장흥군 부산면 부춘리 562-2번지 
,한우,전라남도 장흥군 대덕읍 도청리 728번지 
,한우,"전라남도 장흥군 장평면 양촌리 530-8, 530-10번지 "
,한우,전라남도 장흥군 관산읍 하발리 961번지 1호  
성식농장,한우,"전라남도 장흥군 용산면 녹원리 192-1, 192-2번지 "
,한우,전라남도 장흥군 대덕읍 신월리 383-1번지 
그린농장,한우,전라남도 장흥군 안양면 해창리 1228-2번지 
우수농장,한우,전라남도 장흥군 관산읍 죽청리 27-5번지 
,한우,전라남도 장흥군 대덕읍 연정리 591번지 11호  
,한우,"전라남도 장흥군 회진면 회진리 1164번지 14호 , 1772-7 "
,한우,전라남도 장흥군 대덕읍 잠두리 613-12번지 
,한우,"전라남도 장흥군 대덕읍 신리 652번지 ,654,655 "
,한우,전라남도 장흥군 장흥읍 행원리 529-47번지 
,한우,전라남도 장흥군 회진면 진목리 994번지  
,한우,전라남도 장흥군 장평면 선정리 648-9번지 
,한우,전라남도 장흥군 대덕읍 연정리 1330-2번지 
,한우,전라남도 장흥군 관산읍 방촌리 80번지 
,한우,전라남도 장흥군 용산면 인암리 977-7번지 
,한우,전라남도 장흥군 관산읍 죽청리 161번지  
,한우,전라남도 장흥군 유치면 조양리 1119-1번지 
,한우,전라남도 장흥군 용산면 녹원리 193-6번지 
,한우,"전라남도 장흥군 용산면 운주리 906, 941-19번지 "
구일농장,한우,"전라남도 장흥군 회진면 덕산리 1750-2, 1750-3, 1750-1번지 "
,한우,전라남도 장흥군 회진면 진목리 1372번지 
경원농장,한우,"전라남도 장흥군 회진면 진목리 1803번지 3호 , 1803-2 "
,한우,전라남도 장흥군 관산읍 하발리 84번지 
란영농장,한우,"전라남도 장흥군 대덕읍 잠두리 598번지 1호 , 1072-1, 1072-2번지 (가, 다동) "
상훈축사,한우,전라남도 장흥군 회진면 진목리 1056번지 3필지 
,한우,전라남도 장흥군 대덕읍 신리 1072-2번지 
,한우,전라남도 장흥군 장평면 임리 18-1번지 
,한우,전라남도 장흥군 장평면 봉림리 467번지 
,한우,전라남도 장흥군 관산읍 하발리 1165-5번지 
,한우,전라남도 장흥군 대덕읍 연정리 1321-3번지 
,한우,"전라남도 장흥군 대덕읍 신월리 166, 167, 1091-198, 1091-201번지 "
준영농장,한우,"전라남도 장흥군 관산읍 외동리 55-1, 53, 55, 56-2번지(가동) "
,한우,전라남도 장흥군 관산읍 삼산리 545-5번지 
,한우,"전라남도 장흥군 대덕읍 잠두리 272-5, 272-2번지 "
,한우,전라남도 장흥군 대덕읍 잠두리 1019-90번지 
,한우,전라남도 장흥군 대덕읍 잠두리 1019-52번지 
혜원농장,한우,전라남도 장흥군 대덕읍 연정리 583-5번지 
해은농장,한우,전라남도 장흥군 대덕읍 연정리 476-1번지 
성희농장,한우,전라남도 장흥군 대덕읍 도청리 741번지  
대현농장,한우,전라남도 장흥군 용산면 어산리 508번지 6호  
신일농장,한우,전라남도 장흥군 대덕읍 연지리 134번지  
종율2농장,한우,전라남도 장흥군 대덕읍 연지리 5-60번지 
인섭농장,한우,전라남도 장흥군 용산면 관지리 9-6번지 
종아농장,한우,전라남도 장흥군 안양면 학송리 62번지 7호  
의성축산,한우,"전라남도 장흥군 회진면 신상리 940-7, 940-6번지 "
원호농장,한우,"전라남도 장흥군 관산읍 삼산리 241-14,241-22, 240-24, 1987-1, 2000-25번지 "
재만농장,한우,전라남도 장흥군 용산면 관지리 739번지 
영남축사,한우,전라남도 장흥군 안양면 신촌리 473번지 1호  
재남농장,한우,"전라남도 장흥군 관산읍 고마리 810-1, 889-3번지 "
창렬농장,한우,전라남도 장흥군 회진면 진목리 862번지  
미소농장,한우,전라남도 장흥군 장평면 제산리 858-3번지 
길업농장,한우,전라남도 장흥군 대덕읍 잠두리 1019번지 49호  
삼차농장,한우,전라남도 장흥군 관산읍 신동리 311-1번지  
진우2농장,한우,"전라남도 장흥군 대덕읍 연지리 158, 158-14번지 "
맛누리(주),한우,"전라남도 장흥군 용산면 상금리 691번지 , 681번지 / 나동 "
우드림농장,한우,전라남도 장흥군 관산읍 용전리 331번지 12호  
승곤농장,한우,"전라남도 장흥군 용산면 모산리 15-10, 15-11번지 "
성태농장,한우,전라남도 장흥군 장평면 기동리 974-4번지 
우수2농장,한우,전라남도 장흥군 관산읍 부평리 345번지 1호  
,한우,전라남도 장흥군 회진면 진목리 1795-1번지 
진**2농장,한우,"전라남도 장흥군 장흥읍 덕제리 87, 693-1번지 "
형순농장,한우,전라남도 장흥군 관산읍 외동리 28번지  
희망농장,한우,전라남도 장흥군 장평면 축내리 753번지 
연우농장,한우,전라남도 장흥군 관산읍 외동리 752번지 27호  
안나농장,한우,전라남도 장흥군 대덕읍 연지리 17-79번지 
유진축산2,한우,전라남도 장흥군 대덕읍 연지리 17번지 61호  
석진농장,한우,전라남도 장흥군 회진면 회진리 1459번지 
동진농장,한우,전라남도 장흥군 용산면 금곡리 52-5번지 
경원농장,한우,전라남도 장흥군 용산면 덕암리 213번지 6호  
형순농장,한우,전라남도 장흥군 관산읍 삼산리 217번지 2호  
드렛골2농장,한우,전라남도 장흥군 장동면 조양리 332번지 8호  
