축산업 사업장 명칭,주사육업종,사업장소재지
,한우,전라남도 장흥군 장흥읍 삼산리 464번지 1호  
형제농축산,한우,전라남도 장흥군 관산읍 외동리 213번지  
,한우,전라남도 장흥군 관산읍 옥당리 220번지 1호  
소머리봉 목장,한우,전라남도 장흥군 관산읍 외동리 350번지  
,한우,전라남도 장흥군 관산읍 삼산리 1333번지 9호  
,한우,전라남도 장흥군 장동면 하산리 173번지 1호  
삼정농장,한우,전라남도 장흥군 장동면 만년리 291번지 4호  
,한우,전라남도 장흥군 장동면 봉동리 147번지 3호  
,한우,전라남도 장흥군 장평면 양촌리 530번지 40호  
현대축산,한우,전라남도 장흥군 장평면 내동리 87번지  
,한우,전라남도 장흥군 장평면 기동리 673번지 2호  
둥구낭축산,한우,전라남도 장흥군 유치면 조양리 176번지  
,한우,전라남도 장흥군 유치면 봉덕리 187번지  
,한우,전라남도 장흥군 유치면 용문리  
용문축산,한우,전라남도 장흥군 유치면 용문리 772번지 1호  
조양축산,한우,전라남도 장흥군 유치면 조양리 340번지  
정규농장,한우,"전라남도 장흥군 용산면 접정리 483, 483-1, 713-5번지 "
인암축산,한우,전라남도 장흥군 용산면 인암리 834번지 7호  
칡매축산,한우,"전라남도 장흥군 용산면 인암리 346번지 12호 ,50호 "
,한우,전라남도 장흥군 장흥읍 성불리 242번지  
휘봉산목장,한우,"전라남도 장흥군 용산면 접정리 592번지 1호 , 602 "
현숙농장,한우,전라남도 장흥군 관산읍 송촌리 440번지  
,한우,전라남도 장흥군 용산면 접정리 405번지 11호  
,한우,전라남도 장흥군 관산읍 옥당리 170번지 1호  
녹원 한우랜드,한우,전라남도 장흥군 용산면 녹원리 193번지 2호  
,한우,전라남도 장흥군 관산읍 삼산리 1333번지 10호  
,한우,"전라남도 장흥군 용산면 계산리 413번지 8호 ,413-10 "
,한우,전라남도 장흥군 용산면 금곡리 17번지 1호 외 2필지 
,한우,전라남도 장흥군 용산면 어산리 88번지 5호  
,한우,전라남도 장흥군 관산읍 삼산리 747번지  
광미농장,한우,전라남도 장흥군 용산면 월송리 474번지 1호 / 709-3번지 
,한우,전라남도 장흥군 관산읍 외동리 51번지  
장흠농장,한우,"전라남도 장흥군 용산면 풍길리 466-1, 467번지 "
,한우,전라남도 장흥군 관산읍 외동리 587번지 1호  
,한우,전라남도 장흥군 용산면 접정리 61번지  
청수영농조합,한우,"전라남도 장흥군 용산면 접정리 300번지 10호 , 300-11, 300-12-, 300-13, 300-19, 304-10, 304-11 "
,한우,전라남도 장흥군 관산읍 하발리 681번지 1호  
,한우,전라남도 장흥군 관산읍 외동리 756번지 11호  
,한우,전라남도 장흥군 용산면 모산리 442번지 1호  
현주네목장,한우,전라남도 장흥군 관산읍 신동리 185번지 1호  
한**농장,한우,전라남도 장흥군 용산면 금곡리 430번지 1호  
,한우,"전라남도 장흥군 관산읍 죽청리 28번지 27, 28-10, 29, 31 "
,한우,전라남도 장흥군 용산면 상발리 77번지 1호  
선영농축산,한우,"전라남도 장흥군 관산읍 송촌리 184번지 1호 , 178-1, 183-1, 184, 185-2 "
,한우,전라남도 장흥군 대덕읍 도청리 541번지  
가학농장,한우,"전라남도 장흥군 대덕읍 가학리 193번지 1호 , 193-2 "
초당농장,한우,전라남도 장흥군 대덕읍 신월리 438번지 2호 외 4필지 
,한우,전라남도 장흥군 용산면 상금리 693번지 3호  
월송농장,한우,전라남도 장흥군 용산면 월송리 194번지  
내동축산,한우,전라남도 장흥군 대덕읍 신월리 산 102번지 1호  
영지한우,한우,"전라남도 장흥군 대덕읍 잠두리 산 126번지 바동, 자동 / 324-5번지 "
복현농장,한우,"전라남도 장흥군 용산면 접정리 272, 282-5, 282-6, 717-7번지 "
영지한우,한우,"전라남도 장흥군 대덕읍 잠두리 산 126번지 가동, 라동 "
금곡목장,한우,"전라남도 장흥군 용산면 금곡리 494번지 1호 , 494-2번지 "
영지한우,한우,전라남도 장흥군 대덕읍 잠두리 산 126번지  나동 
부용축산,한우,"전라남도 장흥군 용산면 인암리 829번지 2호 ,829-3 "
신**,한우,전라남도 장흥군 대덕읍 잠두리 552번지  
,한우,전라남도 장흥군 용산면 관지리 204번지  
,한우,전라남도 장흥군 대덕읍 도청리 699번지 1호  
,한우,전라남도 장흥군 용산면 금곡리 59번지 2호  
금곡농장,한우,전라남도 장흥군 용산면 상금리 611번지  
황보축산,한우,전라남도 장흥군 대덕읍 도청리 518번지  
신일농장,한우,"전라남도 장흥군 대덕읍 연지리 128번지 , 129, 127-2번지 "
분토농장,한우,전라남도 장흥군 대덕읍 분토리 126번지 1호 외 1필지 
형제축산,한우,"전라남도 장흥군 대덕읍 연지리 553-6,-5,-7,-8, -24,-4번지 "
,한우,전라남도 장흥군 안양면 당암리 산 46번지 26호  
하** 농장,한우,"전라남도 장흥군 대덕읍 신리 101, 98-2번지 "
,한우,전라남도 장흥군 안양면 당암리 10번지 36호  
,한우,전라남도 장흥군 대덕읍 신리 345번지  
영선농장,한우,전라남도 장흥군 안양면 해창리 361번지  
,한우,전라남도 장흥군 대덕읍 신리 442번지 1호  
,한우,전라남도 장흥군 대덕읍 신리 86번지  
한우사랑축산,한우,전라남도 장흥군 대덕읍 신월리 624번지  
,한우,전라남도 장흥군 안양면 수양리 324번지  
,한우,전라남도 장흥군 대덕읍 도청리 560번지  
명신목장,한우,"전라남도 장흥군 안양면 당암리 10번지 37호 , 10-11 "
성원축산,한우,전라남도 장흥군 유치면 조양리 1126번지 8호  
,한우,전라남도 장흥군 대덕읍 연정리 457번지 1호  
