시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,coord_precision
음성군,삼봉농장,오리,,12000.0,충청북도 음성군 금왕읍 삼봉리 601번지,36.9439035617451,127.550761114993,2024-08-24,exact
음성군,상당농장,닭,육계,40000.0,충청북도 음성군 원남면 상당리 475번지 외 4필지,36.8980135073222,127.671848265261,2024-08-24,exact
음성군,새시대목장,"면양, 타조, 염소",,103.0,충청북도 음성군 원남면 주봉리 464번지,36.8721403982401,127.676449657448,2024-08-24,exact
음성군,생금,닭,육계,100000.0,충청북도 음성군 금왕읍 본대리 101번지 7호 외1필지,36.9845088550495,127.526186235014,2024-08-24,exact
음성군,서가팜,닭,종계/산란계,35000.0,"충청북도 음성군 삼성면 대정리 552,553,554,554-1,555",37.0352086071085,127.522302588641,2024-08-24,exact
음성군,세연농장,오리,,12500.0,충청북도 음성군 소이면 비산리 1003번지 1호,36.9390371688166,127.726425620663,2024-08-24,exact
음성군,세움팜스,닭,육계,130000.0,"충청북도 음성군 대소면 수태리 125번지 외 8필지(122,123,124,맹동면 용촌리 379,379-1,379-2,379-3,379-4)",36.9369742444381,127.517482855977,2024-08-24,exact
음성군,소이가든농장,"육계, 산양",,300.0,충청북도 음성군 소이면 금고리 311번지 2호,36.9178334333792,127.739387594998,2024-08-24,exact
음성군,솔그린농장,닭,육계,60000.0,충청북도 음성군 감곡면 문촌리 448번지 3호 외 4필지,37.1208514757822,127.700226789905,2024-08-24,exact
음성군,솔뫼비농장,닭,종계/산란계,5000.0,충청북도 음성군 삼성면 청용리 49번지 1호,36.9978328572665,127.48510504388,2024-08-24,exact
음성군,송계농장,닭,종계/산란계,110592.0,충청북도 음성군 삼성면 상곡리 2번지,37.007652864915,127.469458751297,2024-08-24,exact
음성군,송림농장,닭,종계/산란계,60000.0,충청북도 음성군 생극면 송곡리 191번지,37.0647094441796,127.598214810906,2024-08-24,exact
음성군,수농장,오리,,16000.0,충청북도 음성군 대소면 삼정리 764번지 1호,36.9471772423955,127.481919976848,2024-08-24,exact
음성군,승순농장,닭,종계/산란계,200000.0,충청북도 음성군 삼성면 대야리 80번지 9호,37.0356420920737,127.507122537906,2024-08-24,exact
음성군,아람농장,닭,육계,35922.0,충청북도 음성군 맹동면 봉현리 278번지,36.9404798806963,127.544179940302,2024-08-24,exact
음성군,아스타,닭,육계,70700.0,충청북도 음성군 맹동면 마산리 389번지,36.9365543330508,127.539536523437,2024-08-24,exact
음성군,열음농장,닭,종계/산란계,2800.0,"충청북도 음성군 소이면 중동리 829번지 외 3필지(830, 831, 1195)",36.892025261548,127.769712112104,2024-08-24,exact
음성군,원남농장,"한우, 메추리",,70002.0,충청북도 음성군 원남면 덕정리 59번지,36.8926226632757,127.64111197292,2024-08-24,exact
음성군,윤호농장,오리,,10000.0,충청북도 음성군 맹동면 봉현리 686번지,36.9348281799787,127.528138620009,2024-08-24,exact
음성군,이루미농장,닭,육계,41800.0,충청북도 음성군 맹동면 마산리 425번지,36.9371637436744,127.54068364815,2024-08-24,exact
음성군,이엘농장,닭,종계/산란계,64350.0,충청북도 음성군 원남면 삼용리 688번지 5호,36.8858631468269,127.596062408518,2024-08-24,exact
음성군,장수농장,오리,,20000.0,"충청북도 음성군 삼성면 천평리 355번지 외 4(357, 358, 359, 937)",36.9842130535456,127.504511091049,2024-08-24,exact
음성군,장수농장,닭,종계/산란계,8920.0,충청북도 음성군 소이면 비산리 670번지 외 11필지,36.9380779301813,127.733616538214,2024-08-24,exact
음성군,정우농장,닭,육계,60000.0,충청북도 음성군 음성읍 초천리 714번지 2호 외 1필지,36.9262240198576,127.653237779228,2024-08-24,exact
음성군,하얀구름,닭,육계,40000.0,충청북도 음성군 맹동면 봉현리 170번지 2호 외 2필지,36.9444233939681,127.544959915294,2024-08-24,exact
음성군,한울,닭,육계,105000.0,"충청북도 음성군 대소면 부윤리 260번지 240, 240-1, 238-4",36.9509220584479,127.534012602637,2024-08-24,exact
음성군,해건농장,닭,육계,35000.0,충청북도 음성군 음성읍 삼생리 799번지 1호 외 2필지,36.9156545244892,127.594422576571,2024-08-24,exact
음성군,햇살농장,닭,육계,44000.0,충청북도 음성군 맹동면 봉현리 504번지,36.9393869727116,127.533692548492,2024-08-24,exact
음성군,행복농장,닭,육계,35000.0,충청북도 음성군 소이면 봉전리 368번지 2호,36.9046845644089,127.756438964822,2024-08-24,exact
음성군,향촌농장,오리,,11000.0,충청북도 음성군 삼성면 천평리 727번지 3호,36.9891333352773,127.492047471027,2024-08-24,exact
음성군,형제농장,닭,육계,100000.0,"충청북도 음성군 소이면 비산리 963번지 외 4필지(963-2, 963-3, 960, 960-3)",36.9415090450149,127.727711408992,2024-08-24,exact
음성군,환희농장,닭,육계,81800.0,충청북도 음성군 맹동면 봉현리 693번지,36.9360280883212,127.529346734779,2024-08-24,exact
음성군,황새농장,닭,육계,78000.0,충청북도 음성군 금왕읍 구계리 429번지 3호 외 1필지,37.0187643909912,127.534824905027,2024-08-24,exact
진천군,(주)드리밍에그,닭,종계/산란계,,충청북도 진천군 문백면 계산리 519번지,36.7767733138522,127.402917674541,2026-04-07,exact
진천군,갈미농장,닭,종계/산란계,,충청북도 진천군 이월면 중산리 549번지 1호 갈미농장,36.9107912195304,127.439823252063,2026-04-07,exact
진천군,건농장,닭,육계,,"충청북도 진천군 덕산읍 인산리 1209번지 , 1210",36.8696542243126,127.501531212804,2026-04-07,exact
진천군,규해농장,닭,육계,,충청북도 진천군 진천읍 행정리 357번지,36.8610478524614,127.416409435808,2026-04-07,exact
진천군,꿀물농장,오리,,,충청북도 진천군 이월면 삼용리,36.8964064115071,127.46899134191,2026-04-07,exact
진천군,꿀벌농장,닭,육계,,충청북도 진천군 초평면 용기리 385번지,36.783628908,127.561757939431,2026-04-07,exact
진천군,꿍이네농장,닭,종계/산란계,,충청북도 진천군 덕산읍 한천리 495번지 3호,36.8992578407452,127.502105103275,2026-04-07,exact
진천군,낙천그린농장,닭,육계,,충청북도 진천군 진천읍 상신리 589번지,36.8620422929338,127.495005749547,2026-04-07,exact
진천군,농업회사법인(주)동일농장 이월지점,닭,종계/산란계,,충청북도 진천군 이월면 미잠리 250번지,36.9452275752139,127.462659484293,2026-04-07,exact
진천군,농업회사법인(주)동일농장이월2지점,닭,종계/산란계,,충청북도 진천군 이월면 미잠리 294번지,36.9387645356633,127.459694737261,2026-04-07,exact
진천군,농업회사법인(주)에버그린 진천지점,닭,종계/산란계,,충청북도 진천군 덕산읍 화상리 165번지 외 18필지,36.8795947682388,127.496775608509,2026-04-07,exact
진천군,농업회사법인(주)유정마을 진천지점,닭,종계/산란계,,충청북도 진천군 진천읍 상신리 566번지 567,36.8634001947892,127.493261259383,2026-04-07,exact
진천군,농업회사법인(주)재유농원 진천지점,닭,종계/산란계,,"충청북도 진천군 초평면 중석리 1828번지 ,1829",36.8553816586139,127.496715860659,2026-04-07,exact
진천군,단원농장,닭,종계/산란계,,"충청북도 진천군 이월면 삼용리 1184번지 외 2필지(1185, 917)",36.885029675457,127.473087708033,2026-04-07,exact
진천군,대국농장,닭,종계/산란계,,충청북도 진천군 진천읍 문봉리 185번지,36.8371279145028,127.396673175396,2026-04-07,exact
진천군,대승농장,닭,육계,,충청북도 진천군 덕산읍 구산리 501번지 9호,36.8852686731017,127.513853471073,2026-04-07,exact
진천군,대정농장,닭,육계,,충청북도 진천군 이월면 동성리 783번지,36.8936583520584,127.462023600881,2026-04-07,exact
진천군,대호농장,오리,,,"충청북도 진천군 이월면 삼용리 452번지 1호 , 452-2, 431-4",36.8991988298915,127.469348270401,2026-04-07,exact
