사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수,면적,데이터기준일자
남율농장,육계,충청북도 음성군 소이면 문등리 196번지  ,충청북도 음성군 소이면 문등로 164-26,72767,3,3358,2023-04-21
농업회사법인주식회사알부자,종계/산란계,충청북도 음성군 원남면 하노리 208번지 외2필지(208-1 213) ,충청북도 음성군 원남면 충청대로1226번길 5-32,32000,11,4068,2023-04-21
대동농장,메추리,충청북도 음성군 소이면 금고리 527번지 1호  ,충청북도 음성군 소이면 한불로 472-13,40000,2,395,2023-04-21
다움랩,육계,충청북도 음성군 삼성면 덕정리 38번지 외 5필지 ,충청북도 음성군 삼성면 금일로 751-49,120000,5,6054.7,2023-04-21
형제메추리농장,메추리,충청북도 음성군 원남면 덕정리 194번지  ,충청북도 음성군 원남면 보덕로297번길 33-33,70000,2,507.6,2023-04-21
정우농장 2,육계,충청북도 음성군 삼성면 대야리 428번지  ,충청북도 음성군 삼성면 대양로 169-42,110000,4,5595.2,2023-04-21
한빛타조농장,타조,충청북도 음성군 맹동면 봉현리 300번지 외 1필지(250번지) ,충청북도 음성군 맹동면 봉현로 187,53,0,5700,2023-04-21
청해농장,오리,충청북도 음성군 삼성면 용대리 155번지  ,,9000,8,2312,2023-04-21
천평농장,오리,충청북도 음성군 삼성면 천평리 682번지 1호  ,충청북도 음성군 삼성면 대성로205번길 19-45,20000,10,6165,2023-04-21
건영농장 2,오리,충청북도 음성군 맹동면 마산리 425번지  ,충청북도 음성군 맹동면 대동로235번길 36-10,5000,7,1980,2023-04-21
모란제2농장,오리,충청북도 음성군 삼성면 청용리 516번지 1호  ,충청북도 음성군 삼성면 대청로 162-40,20000,11,6682,2023-04-21
모란제1농장,오리,충청북도 음성군 삼성면 청용리 483번지  ,충청북도 음성군 삼성면 대청로 162-50,11900,3,2928,2023-04-21
수농장,오리,충청북도 음성군 대소면 삼정리 764번지 1호  ,충청북도 음성군 대소면 오태로116번길 275-133,16000,5,3969,2023-04-21
모란농장,오리,충청북도 음성군 삼성면 청용리 485번지  ,충청북도 음성군 삼성면 대청로 162-50,5500,2,1700,2023-04-21
조은농장,종계/산란계,충청북도 음성군 음성읍 한벌리 산 47번지 1호  ,충청북도 음성군 음성읍 가섭길 192-38,100,2,128,2023-04-21
육일농장,종계/산란계,충청북도 음성군 삼성면 양덕리 421번지  ,,50,1,45,2023-04-21
개나리농장,육계,충청북도 음성군 금왕읍 내송리 301번지  ,충청북도 음성군 금왕읍 금일로 167-45,60000,8,2893,2023-04-21
음성농촌관광농원,육계,충청북도 음성군 원남면 구안리 168번지  ,,6,1,30,2023-04-21
에덴농원,육계,충청북도 음성군 금왕읍 오선리 390번지  ,충청북도 음성군 금왕읍 초금로695번길 23-54,200,1,50,2023-04-21
태성농장,육계,충청북도 음성군 원남면 삼용리 688번지 8호  ,충청북도 음성군 원남면 원중로 655-1,60000,10,3984,2023-04-21
삼원농장 1,오리,충청북도 음성군 맹동면 마산리 464번지 외 1필지 ,,8800,3,2195.2,2023-04-21
삼원농장,오리,충청북도 음성군 맹동면 마산리 463번지 1호  ,충청북도 음성군 맹동면 덕금로235번길 57-10  외 4필지,18500,7,4600,2023-04-21
태성농장,육계,충청북도 음성군 원남면 삼용리 688번지 5호  ,충청북도 음성군 원남면 원중로 655,48000,8,3154,2023-04-21
지남식,육계,충청북도 음성군 맹동면 봉현리 706번지 외 1필지 ,충청북도 음성군 맹동면 봉현로 94-32,46000,5,3600,2023-04-21
류봉농장2,육계,충청북도 음성군 대소면 미곡리 산 2번지 2호  ,충청북도 음성군 대소면 오태로116번길 275-113,92000,10,4436,2023-04-21
신광태농장,육계,충청북도 음성군 삼성면 대정리 1번지 1호  ,,50,1,49,2023-04-21
농업회사법인 (주) 조하 삼성지점,종계/산란계,충청북도 음성군 삼성면 능산리 360번지 1호  ,충청북도 음성군 삼성면 금율로389번길 97-41,255381,19,21462.2,2023-04-21
휴먼앤팜,종계/산란계,충청북도 음성군 소이면 비산리 670번지 외 11필지 ,충청북도 음성군 소이면 충청대로 1822-50 (외 11필지),8920,2,991.2,2023-04-21
감곡벤처농장,오리,충청북도 음성군 감곡면 문촌리 983번지 4호  ,,13487,1,3318,2023-04-21
만석농장,종계/산란계,충청북도 음성군 원남면 보룡리 86번지  ,충청북도 음성군 원남면 보덕로 73-2,0,1,92,2023-04-21
민섭민준이네농장,육계,충청북도 음성군 맹동면 용촌리 604번지  ,충청북도 음성군 맹동면 덕금로87번길 111-39,55000,4,2796,2023-04-21
계구쟁이농장,종계/산란계,충청북도 음성군 삼성면 능산리 122번지  122-1 ,충청북도 음성군 삼성면 금율로389번길 121-13,108864,2,5443.2,2023-04-21
농업회사법인(주)조하,종계/산란계,충청북도 음성군 맹동면 봉현리 363번지 외 7필지 ,충청북도 음성군 맹동면 대동로389번길 61 (외 7필지),86175,7,9575,2023-04-21
농업회사법인 (주) 조하 삼성지점,종계+산란계,충청북도 음성군 삼성면 능산리 360번지 1호  ,충청북도 음성군 삼성면 금율로389번길 97-41,,,,2023-04-21
휴먼앤팜,종계+산란계,충청북도 음성군 소이면 비산리 670번지 외 11필지 ,충청북도 음성군 소이면 충청대로 1822-50 (외 11필지),,,,2023-04-21
감곡벤처농장,육용오리,충청북도 음성군 감곡면 문촌리 983번지 4호  ,,,,,2023-04-21
민섭민준이네농장,육계,충청북도 음성군 맹동면 용촌리 604번지  ,충청북도 음성군 맹동면 덕금로87번길 111-39,,,,2023-04-21
